Table 1: Employees,,,,,,Table 2: PerformanceMetrics,,,,,,,,Table 3,,,,,,Table 4,,,,
EmployeeID,Name,Department,Role,HireDate,,MetricID,EmployeeID,ProjectCompletionRate,TotalTasksCompleted,AverageTrainingHours,EmployeeSatisfactionScore,PerformanceReviewDate,,TrainingID,EmployeeID,TrainingProgram,TrainingHours,CompletionDate,,FeedbackID,EmployeeID,FeedbackDate,FeedbackType,Comments
1,Alice Johnson,Engineering,Software Engineer,2020-01-15,,1,1,85,45,20,4.5,2023-12-01,,1,1,Agile Methodologies,10,2023-06-15,,1,1,2023-12-01,Positive,Excellent problem-solving skills.
2,Bob Smith,Marketing,Marketing Manager,2019-03-20,,2,2,90,50,15,4.7,2023-12-01,,2,2,Digital Marketing,8,2023-06-20,,2,2,2023-12-01,Positive,Great leadership and teamwork.
3,Carol Williams,HR,HR Specialist,2021-05-30,,3,3,80,30,10,4.2,2023-12-01,,3,3,Employee Relations,6,2023-06-10,,3,3,2023-12-01,Neutral,Needs improvement in time management.
4,David Brown,Engineering,DevOps Engineer,2018-07-22,,4,4,88,40,25,4.6,2023-12-01,,4,4,Cloud Computing,12,2023-06-25,,4,4,2023-12-01,Positive,Very proactive and reliable.
5,Eva Green,Sales,Sales Executive,2022-11-10,,5,5,75,35,18,4.1,2023-12-01,,5,5,Sales Techniques,5,2023-06-30,,5,5,2023-12-01,Negative,Needs more engagement with clients.
6,Frank Miller,Engineering,Data Scientist,2020-09-15,,6,6,92,55,30,4.9,2023-12-01,,6,6,Data Analysis,15,2023-06-05,,6,6,2023-12-01,Positive,Exceptional analytical skills.
7,Grace Davis,HR,Talent Acquisition,2021-02-28,,7,7,78,28,12,3.8,2023-12-01,,7,7,Recruitment Strategies,8,2023-06-12,,7,7,2023-12-01,Neutral,"Good work ethic, but could improve communication."
8,Henry Wilson,Marketing,Digital Marketer,2018-12-12,,8,8,85,47,22,4.4,2023-12-01,,8,8,Content Marketing,7,2023-06-18,,8,8,2023-12-01,Positive,Creative approach to marketing challenges.
9,Irene Martinez,Sales,Account Manager,2019-08-05,,9,9,77,33,20,4,2023-12-01,,9,9,Negotiation Skills,6,2023-06-28,,9,9,2023-12-01,Negative,Needs to work on conflict resolution skills.
10,John Taylor,Engineering,Project Manager,2020-04-17,,10,10,89,48,28,4.5,2023-12-01,,10,10,Project Management Basics,10,2023-06-15,,10,10,2023-12-01,Positive,Strong project management capabilities.
11,Laura Allen,HR,HR Coordinator,2023-05-04,,11,11,75,40,17,3.9,2023-12-01,,11,11,Advanced Excel,18,2023-07-01,,11,11,2023-12-01,Neutral,Could improve time management skills.
12,Mark Young,Sales,Sales Executive,2021-11-15,,12,12,92,36,24,4.8,2023-12-01,,12,12,Leadership Skills,10,2023-04-25,,12,12,2023-12-01,Positive,Shows great initiative and leadership.
13,Nancy Scott,Marketing,Content Strategist,2020-08-21,,13,13,78,42,10,4.1,2023-12-01,,13,13,Data Science Fundamentals,13,2023-08-10,,13,13,2023-12-01,Negative,Needs improvement in handling client queries.
14,Oscar Reed,Engineering,Data Scientist,2023-04-29,,14,14,84,44,30,4.3,2023-12-01,,14,14,Customer Service,11,2023-05-18,,14,14,2023-12-01,Positive,Excellent communication and interpersonal skills.
15,Paul White,HR,HR Specialist,2022-07-13,,15,15,76,29,22,3.7,2023-12-01,,15,15,Agile Methodologies,12,2023-06-14,,15,15,2023-12-01,Neutral,Average client interaction skills.
16,Rachel Brown,Sales,Account Manager,2020-10-05,,16,16,85,48,28,4.6,2023-12-01,,16,16,Recruitment Strategies,9,2023-03-07,,16,16,2023-12-01,Negative,Should focus more on timely task delivery.
17,Sam Harris,Marketing,Digital Marketer,2018-03-19,,17,17,81,51,19,4.2,2023-12-01,,17,17,Content Marketing,10,2023-02-20,,17,17,2023-12-01,Positive,Very reliable and detail-oriented.
